"stat_name","stat_val","stat_grp"
"IPv4 Statistics","IPv4 Statistics","IPv4 Statistics"
"Packets Received                   "," 3402475","IPv4 Statistics"
"Received Header Errors             "," 6","IPv4 Statistics"
"Received Address Errors            "," 671883","IPv4 Statistics"
"Datagrams Forwarded                "," 0","IPv4 Statistics"
"Unknown Protocols Received         "," 0","IPv4 Statistics"
"Received Packets Discarded         "," 1120608","IPv4 Statistics"
"Received Packets Delivered         "," 2316766","IPv4 Statistics"
"Output Requests                    "," 2257034","IPv4 Statistics"
"Routing Discards                   "," 0","IPv4 Statistics"
"Discarded Output Packets           "," 5688","IPv4 Statistics"
"Output Packet No Route             "," 0","IPv4 Statistics"
"Reassembly Required                "," 12","IPv4 Statistics"
"Reassembly Successful              "," 5","IPv4 Statistics"
"Reassembly Failures                "," 0","IPv4 Statistics"
"Datagrams Successfully Fragmented  "," 0","IPv4 Statistics"
"Datagrams Failing Fragmentation    "," 0","IPv4 Statistics"
"Fragments Created                  "," 0","IPv4 Statistics"
"IPv6 Statistics","IPv6 Statistics","IPv6 Statistics"
"Packets Received                   "," 2732083","IPv6 Statistics"
"Received Header Errors             "," 0","IPv6 Statistics"
"Received Address Errors            "," 48","IPv6 Statistics"
"Datagrams Forwarded                "," 0","IPv6 Statistics"
"Unknown Protocols Received         "," 0","IPv6 Statistics"
"Received Packets Discarded         "," 47144","IPv6 Statistics"
"Received Packets Delivered         "," 3063950","IPv6 Statistics"
"Output Requests                    "," 2717811","IPv6 Statistics"
"Routing Discards                   "," 0","IPv6 Statistics"
"Discarded Output Packets           "," 1099","IPv6 Statistics"
"Output Packet No Route             "," 79","IPv6 Statistics"
"Reassembly Required                "," 0","IPv6 Statistics"
"Reassembly Successful              "," 0","IPv6 Statistics"
"Reassembly Failures                "," 0","IPv6 Statistics"
"Datagrams Successfully Fragmented  "," 0","IPv6 Statistics"
"Datagrams Failing Fragmentation    "," 0","IPv6 Statistics"
"Fragments Created                  "," 0","IPv6 Statistics"
"TCP Statistics for IPv4","TCP Statistics for IPv4","TCP Statistics for IPv4"
"Active Opens                        "," 108607","TCP Statistics for IPv4"
"Passive Opens                       "," 28","TCP Statistics for IPv4"
"Failed Connection Attempts          "," 36259","TCP Statistics for IPv4"
"Reset Connections                   "," 10505","TCP Statistics for IPv4"
"Current Connections                 "," 27","TCP Statistics for IPv4"
"Segments Received                   "," 1755316","TCP Statistics for IPv4"
"Segments Sent                       "," 1838415","TCP Statistics for IPv4"
"Segments Retransmitted              "," 83886","TCP Statistics for IPv4"
"TCP Statistics for IPv6","TCP Statistics for IPv6","TCP Statistics for IPv6"
"Active Opens                        "," 176851","TCP Statistics for IPv6"
"Passive Opens                       "," 36","TCP Statistics for IPv6"
"Failed Connection Attempts          "," 111177","TCP Statistics for IPv6"
"Reset Connections                   "," 3440","TCP Statistics for IPv6"
"Current Connections                 "," 15","TCP Statistics for IPv6"
"Segments Received                   "," 2819244","TCP Statistics for IPv6"
"Segments Sent                       "," 2615161","TCP Statistics for IPv6"
"Segments Retransmitted              "," 239801","TCP Statistics for IPv6"
"UDP Statistics for IPv4","UDP Statistics for IPv4","UDP Statistics for IPv4"
"Datagrams Received    "," 398785","UDP Statistics for IPv4"
"No Ports              "," 857401","UDP Statistics for IPv4"
"Receive Errors        "," 259781","UDP Statistics for IPv4"
"Datagrams Sent        "," 437763","UDP Statistics for IPv4"
"UDP Statistics for IPv6","UDP Statistics for IPv6","UDP Statistics for IPv6"
"Datagrams Received    "," 120867","UDP Statistics for IPv6"
"No Ports              "," 21790","UDP Statistics for IPv6"
"Receive Errors        "," 25287","UDP Statistics for IPv6"
"Datagrams Sent        "," 123991","UDP Statistics for IPv6"
